Name           Chip  XDISP  ECH   XDAng   Deck  Rbin  Cbin   IOrder EOrder
adrd97-73.fits    1 RED97 -0.000 -0.8340 A11 1 2 61 103
adrd97-74.fits    1 RED97 -0.000 -0.8340 A11 1 2 61 103
adrd97-75.fits    1 RED97 -0.000 -0.8355 A11 1 2 61 103
adrd97-76.fits    1 RED97 -0.000 -0.8355 A11 1 2 61 103
aduv-01.fits      1 UV  0.000  1.7200 C2 1 2 62 84
aduv-02.fits      1 UV -0.200  1.7200 C2 1 2 62 84
aduv-03.fits      1 UV  0.200  1.7200 C2 1 2 62 84
aduv-04.fits      1 UV -0.400  1.7200 C2 1 2 62 84
aduv-05.fits      1 UV  0.400  1.7200 C2 1 2 62 84
aduv-06.fits      1 UV  0.000  2.0890 C2 1 2 59 78
aduv-07.fits      1 UV -0.200  2.0890 C2 1 2 59 78
aduv-08.fits      1 UV  0.200  2.0890 C2 1 2 59 78
aduv-09.fits      1 UV -0.400  2.0890 C2 1 2 59 78
aduv-10.fits      1 UV  0.400  2.0890 C2 1 2 59 78
aduv-11.fits      1 UV  0.000  1.3885 C1 1 2 65 90
aduv-12.fits      1 UV -0.200  1.3885 C1 1 2 65 90
aduv-13.fits      1 UV  0.200  1.3885 C1 1 2 65 90
aduv-14.fits      1 UV  0.000  1.0900 C1 1 2 68 96
aduv-15.fits      1 UV -0.200  1.0900 C1 1 2 68 96
aduv-16.fits      1 UV  0.200  1.0900 C1 1 2 68 96
aduv-17.fits      1 UV  0.000  0.8295 C1 1 2 71 102
aduv-18.fits      1 UV -0.200  0.8295 C1 1 2 71 101
aduv-19.fits      1 UV  0.200  0.8295 C1 1 2 71 102
aduv-20.fits      1 UV  0.000  0.5890 C1 1 2 74 108
aduv-21.fits      1 UV -0.200  0.5890 C1 1 2 74 107
aduv-22.fits      1 UV  0.200  0.5890 C1 1 2 74 108
aduv-23.fits      1 UV  0.000  0.3705 C1 1 2 77 111
aduv-24.fits      1 UV  0.000  0.3705 C1 1 2 77 111
aduv-25.fits      1 UV  0.000  0.3705 C1 1 2 77 111
