|           Name | Chip | XDISP |         ECH |       XDAng | Deck | Rbin | Cbin | IOrder | EOrder |
| adrd97-01.fits |    1 | RED97 |   0.2200854 | -0.57599998 |   C5 |    1 |    2 |     58 |     94 |
| adrd97-02.fits |    1 | RED97 |   0.2200854 | -0.57599998 |   C5 |    1 |    2 |     58 |     94 |
| adrd97-03.fits |    1 | RED97 | -0.22004312 |     -0.5855 |   C5 |    1 |    2 |     58 |     94 |
| adrd97-04.fits |    1 | RED97 | -0.22004312 |     -0.5855 |   C5 |    1 |    2 |     58 |     94 |
| adrd97-05.fits |    1 | RED97 | -0.29995885 | -0.46950001 |   C5 |    1 |    2 |     56 |     90 |
| adrd97-06.fits |    1 | RED97 | -0.29995885 | -0.46950001 |   C5 |    1 |    2 |     56 |     90 |
| adrd97-07.fits |    1 | RED97 | -0.21987398 | -0.63849998 |   C5 |    1 |    2 |     58 |     96 |
| adrd97-08.fits |    1 | RED97 | -0.21987398 | -0.63849998 |   C5 |    1 |    2 |     58 |     96 |
| adrd97-09.fits |    1 | RED97 |  0.30000114 | -0.46950001 |   C5 |    1 |    2 |     56 |     91 |
| adrd97-10.fits |    1 | RED97 |  0.30000114 | -0.46950001 |   C5 |    1 |    2 |     56 |     91 |
| adrd97-11.fits |    1 | RED97 |  0.21991627 | -0.63849998 |   C5 |    1 |    2 |     58 |     96 |
| adrd97-12.fits |    1 | RED97 |  0.21991627 | -0.63849998 |   C5 |    1 |    2 |     58 |     96 |
| adrd97-13.fits |    1 | RED97 | -0.24997981 | -0.67500001 |   C1 |    1 |    2 |     59 |     97 |
| adrd97-14.fits |    1 | RED97 | -0.24997981 | -0.67500001 |   C1 |    1 |    2 |     59 |     97 |
| adrd97-15.fits |    1 | RED97 |  0.25010666 | -0.66149998 |   C1 |    1 |    2 |     59 |     97 |
| adrd97-16.fits |    1 | RED97 |  0.25010666 | -0.66149998 |   C1 |    1 |    2 |     59 |     97 |
| adrd97-17.fits |    1 | RED97 |  0.08482062 |      0.0305 |   C1 |    1 |    2 |     51 |     78 |
| adrd97-18.fits |    1 | RED97 |  0.08482062 |      0.0305 |   C1 |    1 |    2 |     51 |     78 |
| adrd97-19.fits |    1 | RED97 | -1.14571261 |  1.39699996 |   C2 |    1 |    2 |     41 |     55 |
| adrd97-20.fits |    1 | RED97 | -1.14571261 |  1.39699996 |   C2 |    1 |    2 |     41 |     55 |
| adrd97-21.fits |    1 | RED97 | -0.87983423 |  1.50750005 |   C2 |    1 |    2 |     40 |     54 |
| adrd97-22.fits |    1 | RED97 | -0.87979192 |  1.50750005 |   C2 |    1 |    2 |     40 |     54 |
