# wave                 flux               
  5498.745599775782    -16217.0322265625  
  5499.066673517342    -15926.3681640625  
  5499.387747258902    -15902.6884765625  
  5499.708821000462    -15969.439453125   
  5500.029894742022    -15709.1416015625  
  5500.350968483583    -15850.40234375    
  5500.672042225143    -15999.27734375    
  5500.993115966703    -16147.4990234375  
  5501.314189708263    -16112.6259765625  
  5501.6352634498235   -15638.09765625    
  5501.956337191384    -15762.0078125     
  5502.277410932944    -16148.6240234375  
  5502.598484674504    -15988.2548828125  
  5502.919558416064    -15830.1015625     
  5503.2406321576245   -15967.255859375   
  5503.561705899185    -15880.2646484375  
  5503.882779640745    -15858.787109375   
  5504.203853382305    -15800.5068359375  
  5504.524927123865    -15967.2431640625  
  5504.846000865426    -16181.986328125   
  5505.167074606986    -16001.8564453125  
  5505.488148348546    -16063.263671875   
  5505.809222090106    -16140.470703125   
  5506.130295831666    -16087.619140625   
  5506.451369573227    -16072.259765625   
  5506.772443314787    -15715.1591796875  
  5507.093517056347    -15921.232421875   
  5507.414590797907    -15904.2841796875  
  5507.7356645394675   -15906.3076171875  
  5508.056738281028    -16366.8330078125  
  5508.377812022588    -16042.6455078125  
  5508.698885764148    -15877.4296875     
  5509.019959505708    -16066.7041015625  
  5509.341033247269    -15992.18359375    
  5509.662106988829    -15960.9892578125  
  5509.983180730389    -16125.658203125   
  5510.304254471949    -16210.748046875   
  5510.625328213509    -15948.373046875   
  5510.94640195507     -15782.2275390625  
  5511.26747569663     -15796.302734375   
  5511.58854943819     -16252.8173828125  
  5511.90962317975     -16092.3837890625  
  5512.2306969213105   -16016.7802734375  
  5512.551770662871    -16116.9091796875  
  5512.872844404431    -16230.33984375    
  5513.193918145991    -15931.54296875    
  5513.514991887551    -15915.3095703125  
  5513.8360656291115   -15940.88671875    
  5514.157139370672    -15638.64453125    
  5514.478213112232    -15939.919921875   
  5514.799286853792    -16030.3984375     
  5515.120360595352    -16181.0419921875  
  5515.441434336913    -16062.818359375   
  5515.762508078473    -16049.9697265625  
  5516.083581820033    -16050.8505859375  
  5516.404655561593    -15619.06640625    
  5516.7257293031535   -15994.5517578125  
  5517.046803044714    -16175.2236328125  
  5517.367876786274    -15946.3232421875  
  5517.688950527834    -15824.7919921875  
  5518.010024269394    -15754.87109375    
  5518.3310980109545   -15883.5634765625  
  5518.652171752515    -15955.65625       
  5518.973245494075    -15808.3994140625  
  5519.294319235635    -16154.7978515625  
  5519.615392977195    -16059.41796875    
  5519.936466718756    -15868.2353515625  
  5520.257540460316    -15928.10546875    
  5520.578614201876    -15880.408203125   
  5520.899687943436    -15861.3095703125  
  5521.220761684996    -15649.609375      
  5521.541835426557    -15842.015625      
  5521.862909168117    -16083.73828125    
  5522.183982909677    -16106.5068359375  
  5522.505056651237    -16006.8427734375  
  5522.8261303927975   -16034.62890625    
  5523.147204134358    -16195.4453125     
  5523.468277875918    -16287.310546875   
  5523.789351617478    -16315.8291015625  
  5524.110425359038    -16128.2744140625  
  5524.431499100599    -16035.79296875    
  5524.752572842159    -16062.13671875    
  5525.073646583719    -16015.6181640625  
  5525.394720325279    -16074.5634765625  
  5525.715794066839    -16026.904296875   
  5526.0368678084      -15988.44921875    
  5526.35794154996     -16041.0859375     
  5526.67901529152     -15996.9580078125  
  5527.00008903308     -16037.7724609375  
  5527.3211627746405   -16209.9453125     
  5527.642236516201    -15655.05859375    
  5527.963310257761    -15869.0869140625  
  5528.284383999321    -16100.7509765625  
  5528.605457740881    -16161.1328125     
  5528.9265314824415   -15907.8681640625  
  5529.247605224002    -15745.40234375    
  5529.568678965562    -15922.353515625   
  5529.889752707122    -15883.607421875   
  5530.210826448683    -15848.986328125   
  5530.531900190243    -15862.10546875    
  5530.852973931804    -15718.078125      
  5531.174047673363    -15790.9775390625  
  5531.495121414924    -16070.6064453125  
  5531.816195156484    -16286.9755859375  
  5532.137268898045    -15956.28125       
  5532.458342639605    -15967.771484375   
  5532.779416381165    -15889.3408203125  
  5533.100490122725    -15749.8310546875  
  5533.421563864285    -16097.3193359375  
  5533.742637605846    -16094.931640625   
  5534.063711347406    -16142.861328125   
  5534.384785088966    -16106.9521484375  
  5534.705858830526    -15595.2431640625  
  5535.0269325720865   -15688.16796875    
  5535.348006313647    -15842.599609375   
  5535.669080055207    -15978.876953125   
  5535.990153796767    -16249.4697265625  
  5536.311227538327    -16014.6591796875  
  5536.6323012798875   -15956.4150390625  
  5536.953375021448    -15980.005859375   
  5537.274448763008    -15923.814453125   
  5537.595522504568    -15790.5283203125  
  5537.916596246128    -15248.90625       
  5538.237669987689    -15072.091796875   
  5538.558743729249    -14892.3330078125  
  5538.879817470809    -14921.306640625   
  5539.200891212369    -15166.0732421875  
  5539.5219649539295   -15159.5126953125  
  5539.84303869549     -15362.833984375   
  5540.16411243705     -15650.369140625   
  5540.48518617861     -15970.1064453125  
  5540.80625992017     -15947.7822265625  
  5541.1273336617305   -15626.0419921875  
  5541.448407403291    -15760.501953125   
  5541.769481144851    -16127.7255859375  
  5542.090554886411    -16070.73828125    
  5542.411628627971    -15902.544921875   
  5542.732702369532    -16086.107421875   
  5543.053776111092    -16178.04296875    
  5543.374849852652    -16215.703125      
  5543.695923594212    -15993.9013671875  
