# wave                 flux                
  4117.205022787569    -3241.27197265625   
  4117.527222360279    -5630.533203125     
  4117.84942193299     -4422.380859375     
  4118.1716215057      -3845.72021484375   
  4118.493821078411    -3207.18017578125   
  4118.816020651121    -3910.644287109375  
  4119.138220223832    -4507.404296875     
  4119.460419796543    -4268.55126953125   
  4119.782619369254    -4286.22412109375   
  4120.1048189419635   -3866.990966796875  
  4120.427018514674    -3778.2529296875    
  4120.749218087385    -4412.40771484375   
  4121.071417660096    -4493.1669921875    
  4121.393617232806    -3576.439453125     
  4121.715816805517    -4145.9375          
  4122.038016378227    -4479.56884765625   
  4122.360215950938    -3781.535400390625  
  4122.682415523648    -4261.798828125     
  4123.004615096359    -4631.779296875     
  4123.32681466907     -4311.69482421875   
  4123.649014241781    -4268.7666015625    
  4123.9712138144905   -4751.95361328125   
  4124.293413387201    -4024.22119140625   
  4124.615612959912    -4246.25927734375   
  4124.937812532623    -3955.9208984375    
  4125.260012105333    -3660.230712890625  
  4125.582211678044    -3827.90478515625   
  4125.9044112507545   -4287.208984375     
  4126.226610823465    -3954.389892578125  
  4126.548810396175    -3084.331787109375  
  4126.871009968886    -4341.2822265625    
  4127.193209541597    -4151.8212890625    
  4127.515409114308    -3641.235595703125  
  4127.837608687018    -2350.871826171875  
  4128.159808259728    -2699.57080078125   
  4128.482007832439    -3741.084228515625  
  4128.80420740515     -4665.60302734375   
  4129.126406977861    -3893.87158203125   
  4129.448606550571    -3261.32861328125   
  4129.770806123282    -4824.4658203125    
  4130.093005695992    -4177.21337890625   
  4130.415205268703    -3785.91064453125   
  4130.737404841413    -5238.15576171875   
  4131.059604414124    -4075.351318359375  
  4131.381803986835    -3597.467041015625  
  4131.7040035595455   -3341.810791015625  
  4132.026203132255    -4752.9013671875    
  4132.348402704966    -5794.62841796875   
  4132.670602277677    -4307.4365234375    
  4132.992801850388    -3335.6240234375    
  4133.315001423098    -3403.9609375       
  4133.637200995809    -3289.007568359375  
  4133.959400568519    -2957.35693359375   
  4134.28160014123     -3736.415771484375  
  4134.60379971394     -4402.794921875     
  4134.925999286651    -3549.877197265625  
  4135.248198859362    -4222.91748046875   
  4135.570398432073    -3054.094970703125  
  4135.8925980047825   -4561.2265625       
  4136.214797577493    -3790.847900390625  
  4136.536997150204    -4562.240234375     
  4136.859196722915    -4036.6630859375    
  4137.181396295625    -4294.49169921875   
  4137.503595868336    -3999.725341796875  
  4137.8257954410465   -3857.738037109375  
  4138.147995013757    -3148.710693359375  
  4138.470194586467    -3827.289306640625  
  4138.792394159178    -4157.2548828125    
  4139.114593731889    -5541.61669921875   
  4139.4367933046      -4274.00830078125   
  4139.7589928773095   -3980.854248046875  
  4140.08119245002     -3522.24658203125   
  4140.403392022731    -3635.78955078125   
  4140.725591595442    -4757.38720703125   
  4141.047791168152    -3842.125244140625  
  4141.369990740863    -2629.059326171875  
  4141.6921903135735   -3756.4990234375    
  4142.014389886284    -3743.98779296875   
  4142.336589458994    -2006.2310791015625 
  4142.658789031705    -2926.574951171875  
  4142.980988604416    -3614.957275390625  
  4143.303188177127    -4862.62158203125   
  4143.625387749837    -3901.770751953125  
  4143.947587322547    -3484.326904296875  
  4144.269786895258    -3099.586181640625  
  4144.591986467969    -3376.608642578125  
  4144.914186040679    -4655.59375         
  4145.23638561339     -4097.8154296875    
  4145.558585186101    -2031.9639892578125 
  4145.880784758811    -4641.1240234375    
  4146.202984331521    -4374.27734375      
  4146.525183904232    -4822.6875          
  4146.847383476943    -4854.759765625     
  4147.169583049654    -3364.72802734375   
  4147.491782622364    -3022.608642578125  
  4147.8139821950745   -3279.59375         
  4148.136181767785    -3829.24609375      
  4148.458381340496    -3823.541259765625  
  4148.780580913206    -2822.843994140625  
  4149.102780485917    -2662.947021484375  
  4149.424980058628    -3186.421630859375  
  4149.747179631338    -4175.75927734375   
  4150.069379204048    -3670.228271484375  
  4150.391578776759    -3185.4521484375    
  4150.71377834947     -2223.68115234375   
  4151.035977922181    -2106.38037109375   
  4151.358177494891    -3357.749267578125  
  4151.6803770676015   -3101.929931640625  
  4152.002576640312    -3205.29150390625   
  4152.324776213023    -3561.312255859375  
  4152.646975785733    -3119.3544921875    
  4152.969175358444    -4525.8994140625    
  4153.291374931155    -4076.48583984375   
  4153.6135745038655   -3304.447265625     
  4153.935774076575    -3322.70361328125   
  4154.257973649286    -2428.830078125     
  4154.580173221997    -3266.489990234375  
  4154.902372794708    -2842.778076171875  
  4155.224572367418    -4575.78271484375   
  4155.546771940129    -3325.82080078125   
  4155.868971512839    -3382.746826171875  
  4156.19117108555     -4238.314453125     
  4156.51337065826     -3103.734375        
  4156.835570230971    -4229.798828125     
  4157.157769803682    -3700.07861328125   
  4157.479969376393    -4247.13037109375   
  4157.802168949102    -3351.7802734375    
  4158.124368521813    -1935.994384765625  
  4158.446568094524    -1677.342041015625  
  4158.768767667235    -1968.1181640625    
  4159.090967239945    -2860.494384765625  
  4159.413166812656    -2880.385986328125  
  4159.735366385366    -2366.483154296875  
  4160.057565958077    -2054.93505859375   
